FeatureID,Taxon,Confidence
ASV_169,Bacteria,0.999
ASV_170,Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Methylophilaceae;Methylotenera,0.905
ASV_171,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Umboniibacter,0.885
ASV_172,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae,0.990
ASV_173,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae,0.973
ASV_174,Bacteria;Proteobacteria;Gammaproteobacteria,1.000
ASV_175,Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Acidithiobacillaceae;KCM-B-112;uncultured bacterium,0.938
ASV_176,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Neptunomonas,0.704
ASV_177,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Marinagarivorans;Marinagarivorans algicola,0.887
ASV_178,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1,0.863
ASV_179,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae,1.000
ASV_180,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Amphritea,1.000
ASV_181,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae,0.945
ASV_182,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,1.000
ASV_183,Bacteria;Proteobacteria;Gammaproteobacteria,1.000
ASV_184,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Anaeromicrobium;uncultured bacterium,0.948
ASV_185,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Bowmanella;Bowmanella sp. Cs_157,0.850
ASV_186,Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella;uncultured gamma proteobacterium,0.851
ASV_187,Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae,0.774
ASV_188,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ruegeria,0.861
ASV_189,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,0.962
ASV_190,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Saccharophagus,0.991
ASV_191,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Loktanella;Loktanella sediminum,0.901
ASV_192,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,1.000
ASV_193,Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;unidentified proteobacterium,0.960
ASV_194,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Kangiellaceae;Aliikangiella;uncultured bacterium,0.726
ASV_195,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Halocynthiibacter;uncultured alpha proteobacterium,0.961
ASV_196,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;Reinekea,0.982
ASV_197,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,0.965
ASV_198,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,1.000
ASV_199,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Marinicella,1.000
ASV_200,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales,0.964
ASV_201,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,1.000
ASV_202,Bacteria,0.995
ASV_203,Bacteria;Proteobacteria;Gammaproteobacteria,1.000
ASV_204,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae,0.869
ASV_205,Bacteria;Proteobacteria;Deltaproteobacteria;Bradymonadales;Deltaproteobacteria bacterium SKP-2,0.899
ASV_206,Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;Oligoflexaceae;uncultured;uncultured sediment bacterium,0.781
ASV_207,Bacteria;Proteobacteria;Gammaproteobacteria,1.000
ASV_208,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae;Oceanicoccus;Oceanicoccus sagamiensis,0.917
ASV_209,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythrobacter,0.990
ASV_210,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae,0.708
ASV_211,Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae,0.999
ASV_212,Bacteria;Proteobacteria;Gammaproteobacteria;Halothiobacillales;Halothiobacillaceae;Halothiobacillus,0.936
ASV_213,Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;unidentified proteobacterium,1.000
ASV_214,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;Thalassolituus,0.783
ASV_215,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marinibacterium;uncultured Rhodobacterales bacterium,0.948
ASV_216,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Rheinheimera;Rheinheimera perlucida,1.000
ASV_217,Bacteria,1.000
ASV_218,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Filomicrobium,0.811
ASV_219,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Salicola,0.777
ASV_220,Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;OM27 clade,0.983
ASV_221,Bacteria;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;uncultured bacterium,0.821
ASV_222,Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae,0.748
ASV_223,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae,0.842
ASV_224,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Leisingera,0.918
ASV_225,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Marinicella;uncultured bacterium,0.963
ASV_226,Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;uncultured planctomycete,0.982
ASV_227,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales,0.716
ASV_228,Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Flammeovirgaceae;uncultured;uncultured bacterium,0.798
ASV_229,Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;uncultured;uncultured gamma proteobacterium,0.858
ASV_230,Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio,0.993
ASV_231,Bacteria,0.998
ASV_232,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Tepidibacter,1.000
ASV_233,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Alkalimarinus,0.916
ASV_234,Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae;Denitromonas,0.870
ASV_235,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Halodesulfovibrio,1.000
ASV_236,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus,0.779
ASV_237,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythrobacter,0.998
ASV_238,Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Methylophagaceae;Methylophaga,1.000
ASV_239,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas,1.000
